Round,Home Team,Away Team,Home Score,Away Score
1,VB,SIF,2,1
1,OB,FCM,3,0
1,HBK,AGF,1,2
1,EFB,ACH,2,2
1,FCK,BIF,0,1
1,FCN,RFC,1,2
