Round,Home Team,Away Team,Home Score,Away Score
17,OB,VB,2,1
17,SIF,HBK,3,0
17,FCM,EFB,1,1
17,AGF,FCK,1,1
17,ACH,FCN,1,0
17,BIF,RFC,0,2
