Round,Home Team,Away Team,Home Score,Away Score
11,VB,RFC,1,0
11,BIF,FCN,0,0
11,ACH,FCK,3,0
11,AGF,EFB,0,2
11,FCM,HBK,0,1
11,SIF,OB,0,1
