Round,Home Team,Away Team,Home Score,Away Score
7,VB,ACH,3,2
7,AGF,BIF,1,1
7,FCM,RFC,2,1
7,SIF,FCN,1,0
7,OB,FCK,0,2
7,HBK,EFB,0,1
