Round,Home Team,Away Team,Home Score,Away Score
6,VB,FCM,0,2
6,SIF,AGF,1,0
6,OB,ACH,0,1
6,HBK,BIF,2,2
6,EFB,RFC,0,1
6,FCK,FCN,0,0
