Round,Home Team,Away Team,Home Score,Away Score
10,VB,HBK,1,0
10,EFB,OB,0,2
10,FCK,SIF,1,1
10,FCN,FCM,0,0
10,RFC,AGF,3,1
10,BIF,ACH,2,0
