Round,Home Team,Away Team,Home Score,Away Score
19,FCM,VB,1,0
19,AGF,SIF,0,0
19,ACH,OB,0,1
19,BIF,HBK,2,1
19,RFC,EFB,0,1
19,FCN,FCK,0,1
