Round,Home Team,Away Team,Home Score,Away Score
18,ACH,VB,0,1
18,BIF,AGF,2,0
18,RFC,FCM,4,0
18,FCN,SIF,1,2
18,FCK,OB,3,0
18,EFB,HBK,1,0
