Round,Home Team,Away Team,Home Score,Away Score
4,VB,BIF,1,0
4,ACH,RFC,0,1
4,AGF,FCN,2,1
4,FCM,FCK,1,3
4,SIF,EFB,1,0
4,OB,HBK,0,0
