Round,Home Team,Away Team,Home Score,Away Score
5,VB,FCK,1,1
5,FCN,EFB,2,1
5,RFC,HBK,4,0
5,BIF,OB,2,1
5,ACH,SIF,1,2
5,AGF,FCM,0,1
