Round,Home Team,Away Team,Home Score,Away Score
22,FCK,VB,1,0
22,EFB,FCN,0,1
22,HBK,RFC,1,1
22,OB,BIF,2,1
22,SIF,ACH,0,1
22,FCM,AGF,2,1
