Round,Home Team,Away Team,Home Score,Away Score
16,FCN,HBK,2,0
16,FCK,EFB,0,1
16,AGF,VB,0,2
16,ACH,FCM,1,1
16,BIF,SIF,0,1
16,RFC,OB,0,0
