Round,Home Team,Away Team,Home Score,Away Score
9,VB,EFB,3,0
9,FCK,HBK,1,1
9,FCN,OB,2,0
9,RFC,SIF,0,1
9,BIF,FCM,0,2
9,ACH,AGF,1,2
