Round,Home Team,Away Team,Home Score,Away Score
12,HBK,VB,0,2
12,OB,EFB,2,0
12,SIF,FCK,1,1
12,FCM,FCN,1,1
12,AGF,RFC,0,1
12,ACH,BIF,0,1
